英語A　語彙8
take a trip	旅行をする
prefer A to B	BよりもAを好む
historical site	史跡
nature	自然
go on a trip	旅行をする
accommodations	宿泊施設
explore	探検する
oridinary	普通の
take part in	参加する
alternative	代わりとなる
German	ドイツの
Germany	ドイツ
elementary school	小学校
come up with	思いつく
in recent years	近年では
rental	レンタルの
marketplace	市場
rent	貸す
millions of	何百万もの
property	財産
tourist	観光客
temple	寺
lodging	宿
advantage	長所
show around	案内する
recommendation	おすすめ
modern	現代の
shrine	神社
local	地元の
ideal	理想的な
neighbor	近隣住民
neighborhood	近所
complain	文句を言う
disturb	邪魔する
be respectful of	敬意を表す
the surroundings	周囲の環境
historical	歴史上の
historic	歴史上重要な
respectable	品の良い
respectful	礼儀正しい
respective	それぞれの
considerable	かなりの
considerate	思いやりのある
imaginable	想像できる
imaginary	想像上の
imaginative	独創的な
literal	文字通りの
literary	文学の
literate	読み書きのできる
sensible	分別がある
sensitive	敏感な
successful	成功した
successive	連続した
alive	生存して
live	生の
lively	元気な
forgettable	忘れてもよい
forgetful	忘れっぽい
