LEAP 1001-1053 英語→日本語   
propose	を提案する
demand	を要求する
desire	願望
dismiss	を避ける
bless	を祝福する
glory	栄光
compliment	誉め言葉
feast	宴会
declare	を宣言する
demonstrate	を示す
highlight	を強調する
imply	を意味する
recite	を暗唱する
ray	光線
radiation	放射線
laboratory	研究室
oxygen	酸素
molecule	分子
compound	化合物
tissue	組織
cell	細胞
gene	遺伝子
solid	固体の
satellite	衛星
orbit	軌道
launch	を打ち上げる
attempt	試み
capacity	能力
capable	力がある
attain	を達成する
desperate	必死の
struggle	苦闘する
dedicate	をささげる
pain	苦痛
strain	負担
remedy	治療法
fatigue	疲労
obesity	肥満
nursing	看護
terminal	末期の
prognant	妊娠した
heal	を治す
ankle	足首
thumb	親指
forehead	額
chin	下あご
chest	胸
lung	肺
organ	臓器
vision	視力
skeleton	がい骨
sensation	感覚
