技術英語 Lesson5-6 英語→日本語	
proper	適切な、ふさわしい、正しい
firmly	しっかりと
plug A into B	BにAを差し込む、接続する
indicator	指示するもの、表示装置
lit	lightの過去形、過去分詞形
regulation	規制、規定、法規、規制、統制
remain	依然として～のままである
burn	火傷
beneath	～の下に
Phillips screwdriver	プラスドライバー
securely	きつく、しっかりと、安全に
in place	適当な所に
tighten	をしっかり締める
upright	直立した、まっすぐに立った
stable	安定した
drain	排水溝、放水路、下水管
locate	を～に置く、定める
plastic gloves	ビニール手袋
torque wrench	回転スパナ
crankcase	内燃機関のクランク室
sealing washers	シーリングワッシャー
every other time	1回おきに
procedure	方法、手順
position	職、勤め口
circuit	回路、回線
qualifications	資格、免許
bachelor's degree	学士号
salary	給料
welfare	福祉、福利
resume	履歴書、身上書
job openings	就職口
applicant	志願者
apply	申請する、出願する
acceptable	受け入れ可能な
appreciate	～をありがたく思う、感謝する
manufacture	製造、生産
executive	重役、取締役、会社役員、経営幹部
firm	会社
interpersonal	対人関係の
compensation	報酬、支払い、給与
determine	決定する
screening	選考
candidate	候補者
confidential	秘密の、内密の、他言無用の
prior to ~	～より前に
put in	を提出する
evaluate	～を評価する
