Step-by-Step TOEIC Unit11 Office Equipment 英語→日本語  
copy machine	コピー機
outlet	コンセント
insert	挿入する
work	うまくいく
battery	電池
charge	を充電する
attention	注意
inquiry	質問
manual	手引書
procedure	手順
beep	ピーという電子音
alarm	警告
avoid	を回避する
extreme temperature	極端な
humid conditions	湿気の多い
dust	ほこり
constant vibration	絶え間ない
direct sunlight	直射日光
swab	綿棒
at least	少なくとも
once every six month	6ヶ月に一度は
plug	コンセント
indicator	指示器
light up	明るくする
go out	消える
complete	完全な
go off	止まる
excessive	過度の
print a large volume	大量に印刷する
flyer	ビラ
extra charge	追加料金
as a reminder	注意喚起として
below	下に
follow guidelines	ガイドラインに従う
switch 電化製品 off	スイッチを切る
warehouse	倉庫
enter a code	番号を入力する
four-digit	4桁の
available	利用可能な
purpose	目的
notice	通告
explain	に説明する
tidy	こぎれいな
