英語4 Unit7 Health	
を配布する	hand out
を上げる	hold up
ゴミ箱	dust bin
を集める	gather
を拾い上げる	pick up
を捨てる	throw away
社会科	social studies
出る	come out
一時間かそこら	an hour or so
寄付	donation
国連難民高等弁務官	UNHCR
組織	organization
国際連合	United Nations
難民	refugee
を誇りに思う	be proud of
うれしい	pleased
を設立する	found
問題に取り組む	address 問題
機会	opportunity
を得る	earn
有効な	valid
定期的な収入	income
解決策	solution
社会問題	social problem
設計図	blueprint
という結果になる	lead to 結果
創造	creation
何百もの	hundreds of
疑似した	similar
を出版する	publish
物売り	vendor
次の通り	as follows
今後そうなるはずの	prospective
を証明する	prove
このようにして	in this way
写し	copy
を登録する	register
を分配する	distribute
独立	independence
住宅	housing
財務上の	financial
に頼る	rely on
自発的な	voluntary
候補者	candidate
さらに	besides
のそばに	beside
ほとんど	nearly
最初の	initial
駆動力	driving force
