COCET 1501-1550 日本語->英語	
熱	fever
食欲	appetite
燃焼	combustion
徴候	symptom
膜	membrane
試作品	prototype
無作為の	random
内部の	internal
外部の	external
奇数の	odd
安定した	stable
幅広い	widespread
最高の	maximum
最小の	minimum
わずかな	slight
激しい	violent
編集する	edit
訴える	appeal
引き起こす	pose
とらえる	capture
飲み込む	swallow
説得する	persuade
組み立てる	construct
おびやかす	endanger
汚染する	contaminate
適合させる	adapt
登録する	register
習得する	acquire
競う	compete
配列する	array
割れ目	crack
融合	fusion
分裂	fission
障害	disorder
欠陥	defect
対話	dialogue
ため息	sigh
巣	nest
海軍	navy
陸軍	army
軍隊	troop
適合	coalition
役人	officer
ミサイル	missile
爆弾	bomb
潜水艦	submarine
敵	enemy
対立	conflict
宗教	religion
神話	myth
