LEAP 1054-1100 英語→日本語   
code	規定
agenda	議題
gender	性
liberty	自由
humanity	人類
mankind	人類
authority	権威
justice	正義
insurance	保険
hardship	苦難
poverty	貧困
chaos	大混乱
isolation	孤立
interaction	交流
region	地域
proof	証拠
principle	原理
origin	起源
setting	環境
monument	記念碑
mission	任務
project	計画
revolution	革命
pension	年金
found	を創立する
contract	契約
negotiate	交渉する
cooperate	協力する
restore	を回復する
conservative	保守的な
affair	情勢
agency	機関
council	議会
kinddom	王国
republic	共和国
empire	帝国
security	安全
aid	援助
reform	改革
mayor	市長
minister	大臣
poll	世論調査
fortune	財産
property	財産
fund	資金
stock	株
bankrupt	倒産した
