COCET 1301-1350 英語->日本語	
assume	仮定する
intend	意図する
confirm	確認する
define	定義する
transmit	送信する
attach	付ける
attract	ひきつける
repel	反発する
trap	罠
scope	範囲
illusion	錯覚
wavelength	波長
amplitude	振幅
infrared	赤外線
ultraviolet	紫外線
ultrasound	超音波
ripple	さざ波
attention	注意
statement	声明
gravity	重力
velocity	速度
phenomenon	現象
glue	接着剤
carbohydrate	炭水化物
glucose	ブトウ糖
starch	でんぷん
chlorophyll	葉緑素
photosynthesis	光合成
pigment	色素
mission	計画
soldier	兵士
sword	刀
armor	よろい
passion	情熱
candidate	候補
phase	段階
situation	状況
fragment	かけら
fault	過失
danger	危険
toxin	毒素
favor	好意
summit	頂上
difficulty	困難
yield	収穫
regulation	規定
tradition	伝統
obvious	明らかな
pale	青白い
severe	激しい
