キクタン TOEIC L&R テスト SCORE 990 Chapter1	
itinerary	旅行計画
warranty	保証
merchandise	商品
questionnaire	アンケート
venue	開催地
brochure	パンフレット
inventory	在庫品
refund	払い戻し
warehouse	倉庫
merge	合併
transit	輸送
invoice	請求書
plumber	配管工
appliance	器具
supervisor	監督者
agenda	議題
expertise	専門的知識
beverage	飲み物
detour	迂回路
pharmacy	薬局
shipment	積み荷
audit	監査
auditor	監査役
bid	入札
recipient	受取人
amendment	修正案
token	印
workplace	職場
coworker	同僚
pedestrian	歩行者
specification	仕様書
subsidiary	子会社
landmark	目印
attire	服装
outlet	直販店
payroll	従業員名簿
waste	廃棄物
commuter	通勤者
flier	ちらし
contractor	建設業者
retailer	小売業者
workforce	全従業員
premium	保険料
applicant	志願者
discretion	自由裁量
entrepreneur	起業家
vendor	露天商人
duplicate	複製
shareholder	株主
souvenir	記念品
tuition	授業料
amenity	便利な設備
contingency	不慮の事故
periodical	定期刊行物
voucher	商品引換券
enrollment	入学者数
pharmacist	薬剤師
wheelbarrow	手押し車
correspondence	通信
feedback	反応
orientation	職業指導
dividend	配当
inconvenience	不便
supplier	供給業者
directory	住所録
malfunction	不調
memorandum	社内連絡メモ
paycheck	給料
revision	修正
wholesale	卸売り
diagnosis	診断
duration	継続期間
renovation	改装
vacancy	空室
attendee	出席者
leaflet	ちらし
resignation	辞職
supplement	補給剤
lease	賃貸借契約
shuttle	定期往復便
diner	食事客
hallway	廊下
intersection	交差点
subscription	定期購読
bankruptcy	倒産
bulk	大部分
incentive	動機
indicator	指標
predecessor	前任者
surplus	黒字
advocate	支持者
breakthrough	進展
courier	宅配便業者
stationery	文房具
turbulence	乱気流
cuisine	料理
fluctuation	変動
installation	取りつけ
medication	薬物
bin	ごみ箱
constraint	制約
delegate	代表者
excerpt	抜粋
extinction	絶滅
pier	桟橋
turnaround	好転
appraisal	評価
autograph	サイン
digit	けた
intermission	休憩時間
negligence	怠慢
notification	通知
overview	概観
ventilation	換気
booking	予約
broom	ほうき
delegation	代表団
oversight	見落とし
restructuring	リストラ
sightseeing	観光
stopover	短期滞在
wholesaler	卸売業者
apprentice	見習い
housekeeping	家事
lecturer	講演者
liaison	連絡係
patron	顧客
screening	選考
expenditure	支出
collaboration	協力
enclosure	同封物
subscriber	定期購読者
expiration	満期
hazard	危険
patronage	ひいき
renewal	更新
apparel	衣服
coincidence	偶然の一致
prototype	試作品
publication	出版
stapler	ホチキス
accuracy	正確さ
lawsuit	訴訟
remuneration	報酬
respondent	回答者
submission	提出
subsidy	補助金
tenure	在職期間
turnout	入出
authorization	認可
cancellation	取り消し
cardboard	段ボール
compliance	厳守
congestion	混雑
consistency	一貫性
contingent	代表団
crate	木箱
encouragement	激励
exemption	控除
expanse	広がり
fitness	健康
hesitation	ためらい
installment	分割払い
portfolio	作品集
remittance	送金
revelation	意外な新事実
suite	スイートルーム
validity	妥当性
administrator	管理者
avoidance	回避
diligence	勤勉
dimension	寸法
landlort	家主
observance	厳守
rejection	不採用通知
artwork	芸術作品
enhancement	向上
fund-raising	資金集め
keynote	基本方針
mandate	権限
meteorologist	気象学者
misunderstanding	誤解
occupancy	居住
precedent	前例
superiority	優越
trustee	理事
discouragement	落胆
gratuity	チップ
spokespreson	広報担当者
liability	法的責任
altitude	高度
commerce	商業
mortgage	住宅ローン
surcharge	追加料金
attorney	弁護士
auditorium	講堂
catering	仕出し
dose	服用量
ecology	生態
emission	放出
evacuation	避難
freight	貸物
quotation	見積もり
refill	お代わり
semester	学期
takeover	企業買収
textile	織物
turnover	離職率
acclaim	賞賛
clearance	在庫一掃セール
demonstration	実物宣伝
disposal	処分
enterprise	企業
handout	配布資料
outing	遠足
speciality	得意料理
undergraduate	大学生
utensil	器具
additive	添加物
aging	老化
bulletin	掲示
compartment	小物入れ
confirmation	確認
credential	証明書
criterion	基準
fabric	織物
fixture	設備
momentum	勢い
quota	割当量
script	原稿
stake	投資
staple	主食
tenant	借家人
vending machine	自動販売機
concession	譲歩
courtyard	中庭
detergent	洗剤
farewell	別れ
gymnasium	体育館
injection	注射

