英語4 Unit3 Hobbies
模型	model
飛行機に搭乗する	board an airplane
仰向けになる	lie on one's back
うつ伏せになる	lie on one's face
反対の方向を見る	look the other way
〜を始める	take up
一昨日	the day before yesterday
ひどい	terrible
茶道部	tea ceremony club
野菜を栽培する	grow vegetables
たまに	ones in a while
を収穫する	gather in 作物
ある意味では	in a sense
自家栽培野菜	home-grown vegetables
キュウリ	cucumber
収穫	harvest
病気	disease
昆虫	insect
直ちに	right away
本棚	bookshelf
〜を修理する	fix 故障したモノ
〜するのを防げる	stop 人 from doing
蛇口	faucet
漏れる	leak
を上演する	perform
仕事	task
一人で	on one's own
専門家を呼び入れる	call in 専門家
有料の専門家	paid expert
基礎	basis
生まれた	be born
イギリス	Britain
第二次世界大戦	World War 2
完全に	completely
を破壊する	destroy
空襲	aerial bombing
運動	movement
を建て直す	rebuild
スローガン	slogan
すぐに(1語)	immediately
広げる	spread
の間ずっと	throughout
ヨーロッパ	Europe
概念	concept
再建築	reconstruction
生産的活動	productive activity
心地良い	comfortable
1970年代はじめに	in the early 1970s
娯楽として	for pleasure
利益	profit
〜に参加する	engage in 行為・議論
着実に	steadily
日曜大工	home-improvement
〜で混雑している	be crowded with
必要なのは〜だけだ	All it takes is
勇気	courage
成功した	successful
すぐに(3語)	in no time
〜を確実にする	ensure
途中で	halfway

