COSET 1300-1349	
集中する	concentrate
仮定する	assume
意図する	intend
確認する	confirm
定義する	define
送信する	transmit
付ける	attach
ひきつける	attract
反発する	repel
罠	trap
範囲	scope
錯覚	illusion
波長	wavelength
振幅	amplitude
赤外線	infrared
紫外線	ultraviolet
超音波	ultrasound
さざ波	ripple
注意	attention
声明	statement
重力	gravity
速度	velocity
現象	phenomenon
接着剤	glue
炭水化物	carbohydrate
ブトウ糖	glucose
でんぷん	starch
葉緑素	chlorophyll
光合成	photosynthesis
色素	pigment
計画	mission
兵士	soldier
刀	sword
よろい	armor
情熱	passion
候補	candidate
段階	phase
状況	situation
かけら	fragment
過失	fault
危険	danger
毒素	toxin
好意	favor
頂上	summit
困難	difficulty
収穫	yield
規定	regulation
伝統	tradition
明らかな	obvious
青白い	pale
