前期期末 COCET 1381-1560
総和、合計	sum
数の、数に関する	numerical
数多くの	numerous
連続した	consecutive
10新法の、小数の	decimal
基本的な、根本的な	fundamental
ありふれた、普通の	ordinary
年一回の、一年の	annual
給料、月給	salary
先駆者	pioneer
スペクトル	spectrum
側面、外観	aspect
章	chapter
概念、考え、構想	concept
職業、経歴	career
内容、満足している	content
責任	responsibility
機会	opportunity
流体	fluid
流れ、小川	stream
洪水、氾濫する	flood
干ばつ、日照り	drought
基礎、基金、設立	foundation
顧客、取引先	customer
ささやく、ささやき	whisper
刺激する	stimulate
割り当てる	assign
促進する、昇進させる	promote
辞任する、辞職する	resign
縛る、結びつける	bind
～について言う、言及する	mention
遅らせる、遅れ	delay
無視する	ignore
薦める、推薦する	recommend
配達する、述べる	deliver
起こる、発生する	arise
貢献する、寄付する	contribute
尊敬する、大切にする	respect
侮辱する、侮辱	insult
破る、～に違反する	violate
困惑させる	puzzle
丸太、記録する	log
管、船	vessel
鉢	bowl
甲板	deck
小屋、客室	cabin
錨、固定する	anchor
株式、在庫	stock
崩壊、崩壊する	collapse
糸、糸を通す	thread
針	needle
印象	impression
通り道、小道	path
支店、枝	branch
全体で、統計で	altogether
時計回りに、右回りに	clockwise
垂直に、直立した	upright
それぞれ	respectively
関わらず	regardless
優しい、穏やかな	gentle
合法的な、法律の	legal
広大な	vast
熱の、温度の	thermal
全体的な	overall
性の、性的な	sexual
危機的な、決定的な	critical
近くの、近くで	nearby
決定的な、重大な	crucial
前の、先の	prior
上級の、年長の	senior
地下の、地下	underground
妊娠している	pregnant
肥沃	fertile
無菌の	sterile
精子	sperm
胚	embryo
染色体	chromosome
受精させる、肥やす	fertilize
拒否する	refuse
交換する、交換	exchange
回す、回転する	rotate
修正する、変更する	modify
搭載する、載せる	mount
承認する、賛成する	approve
隠れる、隠す	hide
～のふりをする	pretend
調べる、探査する	probe
非難する、とがめる	blame
悩ませる、困らせる	bother
許す、大目に見る	forgive
吹く、爆発する	blow
修理する、固定する	fix
破裂する、破裂させる	burst
探検する、調査する	explore
投げ捨てる、ごみ捨て場	dump
切り落とす、たたき切る	chop
切りそろえる、切り取る	trim
炎、燃え上がる	flame
火星	Mars
木星	Jupiter
彗星	comet
小惑星	asteroid
放物線	parabola
災害、災難	disaster
結果	consequence
脅威、脅迫	threat
生き物	creature
哺乳類	mammal
爬虫類	reptile 
恐竜	dinosaur
殻、甲	shell
脊椎動物	vertebrate
骨格	skeleton
信用する、信頼する	trust
分類する	classify
分割する、割れる	split
資格を与える	entitle
購入する	purchase
雇う	hire
重役、行政官	executive
秘書、長官	secretary
係員、事務員	clerk
施設、設備	facility
快適さ、慰める	comfort
重要性  importance
強さ、力    strength
協力、提携  cooperation
会議、議会  congress
議題、議事日程  agenda
戸棚、内閣  cabinet
優先事項、優先順位  priority
知能、情報  intelligence
本能    instinct
選手    athlete
家具    furniture
階段    stair
柱  pillar
天井    ceiling
廊下    corridor
地下室、地階    basement
出入口、戸口    doorway
棚  shelf
くさび  wedge
煙突    chimney
建築    architecture
農業    agriculture
堆肥    compost
設定、環境  setting
管理、行政、政府    administration
主張する、要求する  insist
成し遂げる、達成する    accomplish
表す、表現する  express
取り組む    tackle
集める、集まる  gather
貼り付ける、糊  paste
中断する、つるす    suspend
消費する    consume
改訂する、見直す    revise
評価する    evaluate
感謝する、鑑賞する  appreciate
入浴する、浴びる    bathe
呼吸する、吸う  breathe
振動する    vibrate
飢餓、空腹  hunger
尊敬、威厳  dignity
熱量    calorie
微生物、有機体  organism
酵素    enzyme
抗体    antibody
抗原    antigen
帯、ひも    band
愉快な、面白い  funny
ていねいな  polite
異常な、珍しい  unusual
警戒している、警報  alert 
市民の、民間の  civil
固有の、生まれつきの    native
能力がある  capable
膨大な  enormous
適切な  appropriate
