LEAP 1054-1100 日本語→英語   
規定    code
議題    agenda
性  gender
自由    liberty
人類    humanity
人類    mankind
権威    authority
正義    justice
保険    insurance
苦難    hardship
貧困    poverty
大混乱  chaos
孤立    isolation
交流    interaction
地域    region
証拠    proof
原理    principle
起源    origin
環境    setting
記念碑  monument
任務    mission
計画    project
革命    revolution
年金    pension
を創立する  found
契約    contract
交渉する    negotiate
協力する    cooperate
を回復する  restore
保守的な    conservative
情勢    affair
機関    agency
議会    council
王国    kinddom
共和国  republic
帝国    empire
安全    security
援助    aid
改革    reform
市長    mayor
大臣    minister
世論調査    poll
財産    fortune
財産    property
資金    fund
株  stock
倒産した    bankrupt
