英語4 Unit1 College Life(1)	
見解	view
もう〜ない	not anymore
〜することに同意する	agree to do
人が〜するのを手伝う	help 人 (to) do
日用品	daily necessities
学期	semester
ストレスの多い	stressful
〜に対して調整する	make an adjustment (to 事柄)
～で満たされる	be filled with
期待	expectation
発見	discovery
先にあるもの	what lies ahead
職業	career
活動的な	active
受動的な	passive
参加	participation (in イベント)
その代わりに	instead
コトを説明する	explain コト (to 人)
一人で	on one's own
〜する自由がある	have freedom to do
選択する	make a choice
決定する	make a decision
増加する	increase
独立	independence
責任	responsibility
習慣づける	develop a habit
最優先事項	the top priority
〜に出席する	attend 会合など
人が〜できるようになる	enable 人 to do
コトに集中する	concentrate on コト
同時に	at the same time
〜に参加する	take part in
〜する機会	an opportunity to do
〜と友だちになる	make friends with
〜の種類	a form of
まとめると	to sum up
たしかに	indeed
〜の準備	preparation for
〜を気に留めておく	keep in mind that
〜についてクレームを言う	complain about
〜の意に反して	against one's will
を認識する	recognize
を実現する	realize
をダメにする	spoil
〜と親しい関係にある	be on good terms with
〜に応募する	apply for
