COCET 後期中間対策　1561-1770
即座の	immediate
定期往復便	shuttle
宇宙飛行士	astronaunt
天文学	astronomy
心理学	psychology
文献、文学	literature
信条、理念、哲学	philosophy
犠牲者、被害者	victim
評価	assessment
視界、視力	sight
視覚	vision
境界、限界	boundary
影、人影	shadow
収入	income
支出	expenditure
文字、性格、特徴	character
奪う	rob
見分ける、識別する	distinguish
注射する、注入する	inject
判断する、審判	judge
潤滑させる、油をさす	lubricate
参照する、言及する	refer
引用する、引き合いに出す	cite 
分離する、孤立させる	isolate
捨てる	abandon
雇う	employ
興奮させる	excite
ふるまう、行儀よくする	behave
却下する、拒絶する	reject
減衰する、崩壊する	decay
意味する、暗示する	imply
卒業する、卒業生	graduate
学部生	undergraduate
賃金	wage
見通し、見込み、可能性	prospect
議長、司会者	chairman
雨林	rainforest
マイクロ波、電子レンジ	microwave
編成、構成、形態	formation
態度、心構え	attitude
熱、熱狂	fever
食欲	appetite
燃焼	combustion
徴候	symptom
膜	membrane
試作品	prototype
無作為の	random
内部の、内面的な	internal
外部の	external
奇妙な、半端な	odd
安定した	stable
幅広い、広範囲にわたる	widespread
最高の、最大の	maximum
最小の、最低の	minimum
わずかな、かすかな	slight
激しい、暴力的な	violent
編集する	edit 
訴える、訴え	appeal
引き起こす	prospect
とらえる、捕獲	capture
飲み込む、ツバメ	swallow
説得する	persuade
組み立てる、建設する	construct
おびやかす、危険にさらす	endanger
汚染する	contaminate
適合させる、改造する	adapt
登録する、記録する	register
習得する、得る	acquire
競う	compete 
配列する、整列させる	array
割れ目、裂け目	crack
融合、融解	fusion
分裂	fission
障害、混乱	disorder
不備	defect
対話、対談	dialogue
溜息	sigh 
巣、入れ子	nest
海軍	navy
陸軍、軍隊	army 
軍隊	troop
連合、連立	coalition
役人、警官	officer
ミサイル	missile
爆弾、爆撃する	bomb
潜水艦	submarine
敵	enemy
対立、争い	conflict
宗教	religion
神話	myth
精神、霊	spirit
魂	soul 
荷物、旅行鞄	luggage
小包、ひとかたまり	parcel
賞、授与する	award
功績、信用	credit
障壁	barrier
信念	belief
指数、指標	index
比	ratio
確率、見込み	probability
海の、船舶の	marine
具体的な、現実の	concrete
複雑な	complicated
大西洋の	Atlantic
理想的な、理想	ideal
信じられない	incredible
神経の	neural
知的な、知識人	intellectual
正確な、精密な	precise
免疫の	immune
目が見えない、盲目の	blind
耳が聞こえない	deaf
都会の	urban
田舎の	rural
郊外	suburb
市民	citizen
隣人、近隣の	neighbor
存在	presence
手がかり	clue
フレーク	flake
区域、地帯	zone
意見、見解	opinion
小説	novel
メディア、媒体	media
教訓、道徳	moral
作り話	fiction
神秘、推理小説	mystery
処理する、対抗する	cope 
漏れる、漏らす	leak
取り付ける、組み込む	install
修理する	repair
制限する	restrict
後悔する、残念に思う	regret
祈る	pray 
挿入する	insert
散らす、ばらまく	scatter
はぎ取る、区画	strip
育てる、繁殖させる	breed
調整する、対等にする	coordinate
工夫する、発明する	devise
補強する、強化する	reinforce
予報する	forecast
衝突する	collide
進む、続行する	proceed
航海する	sail
弓	bow
手順、手続き	procedure
題名、肩書	title
労働	labor
組合、連合	union
牛	cattle
子羊	lamb
部分、部門	sector 
鉱物、鉱物を含む	mineral
大陸	continent
利益	profit
現場、場面	scene
混乱	chaos
標本、見本	specimen
主導権、主体的な行動	initiative
程度、範囲	extent
ひも、弦	string
振り子	pendulum
ドラム、太鼓	drum
手術	surgery
概念、観念	notion
穀物、粒	grain
状態、地位	status
部屋	chamber
通り道、通ること	passage
列、並び	row
柱、列	column
織物、繊維	textile
銅	copper
白金	platinum
亜鉛	zinc
水銀	mercury
生態系	ecosystem
多様性、相違点	diversity
出会い、遭遇	encounter
目的地	destination
極端な	extreme
気持ち悪い、むかつく	disgusting
気づいている、知っている	aware
簡潔な、短い	brief
上部の、上位の	upper
優れた、すばらしい	excellent
見かけ上の、明らかな	apparent
公正な	fair
迂回する	bypass
排出する、排出口	drain
不平を言う	complain
返事をする	reply
賞賛する、誉める	admire
蓄積する	accumulate
引用する	quote
分配する、配送する	distribute
沈む、沈める	sink
蒸留する	distill
笑う	grin 
点火する、発火する	ignite
爆発する、破裂する	explode
思い出す、思い出させる	recall
に相談する、相談する	consult
説明する、図解する	illustrate
交流する、相互に作用する	interact
ためらう、遠慮する	hesitate
埋める、埋葬する	bury 
宝物、財産	treasure
