COCET 1351-1400 英語->日本語	
broad	広い
narrow	狭い
radioactive	放射性の
uranium	ウラン
plutonium	プルトニウム
neutron	中性子
proton	陽子
nucleus	核
broadcast	放送する
obtain	手に入れる
wonder	不思議に思う
scream	叫ぶ
regard	みなす
adopt	採用する
preserve	保護する
extract	抽出する
substitute	代用する
transform	変換する
smash	粉々にする
positive	正の
efficient	効率がよい
vital	生命の
outer	外側の
integer	整数
fraction	一部分
denominator	分母
numerator	分子
polygon	多角形
formula	公式
sphere	球
sum	総和
numerical	数の
numerous	数多くの
consecutive	連続した
decimal	10進法の
fundamental	基本的な
ordinary	ありふれた
annual	年1回の
salary	給料
pioneer	先駆者
spectrum	スペクトル
aspect	側面
chapter	章
concept	概念
career	職業
content	内容
responsibility	責任
opportunity	機会
fluid	流体
stream	流れ
