LEAP 0001-0198 英語→日本語   
agree	賛成する
oppose	～に反対する
advise	～に忠告する
tip	助言
discuss	～について話し合う
blame	～に責任があるとする
argue	(that S V)～と主張する(a-)
claim	(that S V)～と主張する(c-)
complain	文句を言う
offer	～を申し出る
suggest	～を示唆する
recommend	～を推薦する
grateful	感謝している
apologize	(to ～)(～に)謝る
excuse	言い訳
celebrate	～を祝う
admire	～に感心する
impress	～に感銘を与える
award	賞
describe	～を説明する(d-)
explain	～を説明する(e-)
communicate	(with ～)(～と)意思の疎通をはかる
express	(意見、気持ち)を表現する
promise	約束
information	情報
technology	(科学)技術
research	(学術)研究
material	材料
artificial	人工的な
electric	電気の
invent	～を発明する
discover	～を発見する
develop	発達する
skill	技術
ability	能力
talent	才能
effort	努力
practice	練習
game	試合
achieve	～を達成する
manage	(to do)何とかして～する
improve	～を改善する
produce	～を生産する
create	～を創造する
establish	～を確立する
save	を省く
medicine	(for ～)(～の)薬
patient	患者
condition	状態
medical	医療の
stress	ストレス
suffer	(from ～)(病気などで)苦しむ
exercise	運動
breathe	呼吸する
thirsty	のどが渇いた
physical	身体的な
fever	(体温の)熱
strength	(physical -)体力
tear	(通例 -s)涙
taste	～の味がする
rule	規則
role	役割
habit	習慣(h-)
custom	習慣(c-)
tradition	伝統
society	社会
law	(the-)(集合的に)法律
ancestor	祖先
population	人口
native	母国の
abroad	海外へ
local	その土地の
survey	調査
evidence	証拠
value	価値
treasure	財宝
fashion	流行
public	(the -)大衆
vote	投票(数)
government	政府
nation	国家
capital	首都
state	州
political	政治的な
price	価格
cost	(費用)を要する
sum	(修飾語を伴って)金額
budget	予算
fee	(会費、遊園地などの)料金
fare	運賃
bill	勘定
trade	貿易
wealth	富
economy	経済
company	会社
task	仕事
earn	(金)を稼ぐ
hurt	(身体の部位が)痛む
injure	～を痛める
damage	～に損害を与える
destroy	～を(完全に)破壊する
ruin	～を台無しにする
danger	危険
neighbor	近所の人
audience	聴衆
crowd	群衆
author	著者
staff	職員
clerk	店員
customer	客
passenger	乗客
elderly	年配の
female	女性の
head	向かう
follow	～の後について行く
wander	歩き回る
travel	旅行する
passenger	～を通り過ぎる
likely	(to do)～しそうだ
natural	当然の
certain	確かな
probably	おそらく
face	～に直面する
avoid	～を避ける
solve	～を解決する
trouble	問題(t-)
issue	問題(i-)
cheer	(on)～に声援を送る
encourage	(A to do)(A)(～するよう)促す
support	～を支持する
prevent	～を妨げる
deny	～を否定する
enable	(A to do)(A)に[が](～することを)可能にする
succeed	(in ～)(～に)成功する
miss	～を逃す
fail	(in[at] ～)(～に)失敗する
mistake	間違い
check	～を調べる
hide	～を隠す
draw	(線で絵など)を描く
join	(クラブ、団体など)に加わる
throw	～を投げる
operate	(機械など)を操作する
repair	～を修理する
sew	～を縫う
raise	～を上げる
serve	(飲食物)を出す
pour	～を注ぐ
spill	～をこぼす
pretend	(to do/that S V)(～する/～である)ふりをする
behave	ふるまう
bear	(can -)～に耐える
explore	～を探検する
happen	(to ～)(～に)起こる
appear	現れる
remain	～のままでいる
survive	生き残る
belong	(～に)所属している
represent	～を代表する
base	～の基礎を置く
include	～を含む(i-)
contain	～を含む(c-)
own	自分自身の
share	～を共有する
collect	(同種の物)を集める(c-)
gather	～を集める(g-)
history	歴史
subject	科目
education	教育
knowledge	知識
uniform	制服
grade	(小、中、高の)学年
senior	(高校、大学の)最上級生
graduate	(from ～)(～を)卒業する
decide	(to do)(～すること)を決定する
judge	～を判断する
quit	～を(完全に)やめる
retire	(from ～)(～を)引退する
review	再検討
choose	～を選ぶ
imagine	～を想像する
guess	～を推測する
expect	～を予期する
predict	～を予測する
remember	(doing)(過去にしたこと)を覚えている
remind	(A of B)(A)に(Bのことを)思い出させる
realize	～を(はっきり)理解する
appreciate	～を(正しく)理解する
accept	～を受け入れる
consider	～をよく考える
mind	気にする
wonder	(wh-節/if S V)～かなと思う
seem	～のように思われる
compare	(A with[to,and] B)(A)を(Bと)比較する
concentrate	(on ～)(～に)集中する
focus	(on ～)(～に)焦点を当てる
allow	(人が)～を許可する
admit	～を認める
