英語A　Chapter4 
blank	空欄
light meal	軽食
great-grandfather	曾祖父
great-grandson	ひ孫
gain access to	を利用する
nutritious	栄養のある
nutrition	栄養
life expectancy	平均寿命
cure of	を治療する
vaccination	ワクチンを打つこと
vaccine	ワクチン
prevent	を妨げる
disease	病気
treatment	治療
average	平均
be expected to do	すると見込まれている
vary	異なる
various	様々な
variety	多様性
economic	経済の
circumstances	境遇
madeical care	医療介護
daily diet	日常食
differ	異なる
defferent	異なる
defference	違い
tend to do	する傾向がある
worldwide	世界的な
increase	増加する
invent	を発明する
childhood	子供時代
medicine	薬
additionally	それに加えて
perhaps	ひょっとすると
consist of	からなる
fresh	新鮮な
portion	部分
grill	を網焼きにする
steam	を蒸す
public transportation	公共交通機関
bicycle	自転車で移動する
even	でさえも
until	まで
snack	軽食
fries	フライドポテト
I'm starving	お腹がペコペコだ
work out	筋トレをする
gym	ジム
buffet	バイキング
choice	選択
choose	を選ぶ
combine with	組み合わせる
a secret to	の秘訣
Not necessarily.	必ずしもそうではない
entire	全体の
container	容器
freeze	を冷凍する
thanks to	のおかげで
