LEAP 0199-0400 日本語→英語	
地面	ground
汚染	pollution
光景	sight
眺め	view
風景	landscape
自然	nature
種	seed
植物	plant
咲く	bloom
収穫	harvest
昆虫	insect
地震	earthquake
温度	temperature
度	degree
洪水	flood
凍る	freeze
～を反射する	reflect
礼儀正しい	polite
無礼な	rude
孤独な	lonely
怠惰な	lazy
厳しい	strict
醜い	ugly
知的な	intelligent
ばかな	silly
あがって	nervous
目を覚まして	awake
態度	attitude
性格	character
特徴	characteristic
特徴	feature
詳細	detail
利点	advantage
欠点	fault
質	quality
正確な	correct
理想的な	ideal
公正な	fair
適切な	appropriate
有名な	famous
初歩的な	elementary
主要な	major
重要である	matter
明るい	bright
輝いている	brilliant
生き生きとした	lively
快適な	comfortable
楽しい	pleasant
都合がよい	convenient
誤った	false
ひどい	terrible
ひどい	awful
薄い	thin
引き締まった	tight
ゆるい	loose
生の	raw
空の	empty
滑らかな	smooth
直接的な	direct
知られた	familiar
似た	similar
異なる	differ
さまざまだ	vary
特定の	specific
普及した	common
珍しい	unusual
～を加える	add
増える	increase
～を減らす	reduce
～を分割する	divide
～を教える	count
～の重さがある	weigh
4分の1	quarter
多くの～	lot
積み重ね	pile
割合	rate
数字	figure
不足	lack
余分な	extra
用意ができている	ready
～の準備をする	prepare
慣れる	adjust
当てはまる	apply
に適している	suit
場合	case
場面	scene
機会	chance
機会	opportunity
経験	experience
時間	time
春	spring
分	minute
時代	period
世代	generation
記念日	anniversary
最近	recently
以前は～だった	used
早く	early
第1の	first
最新の	latest
現代の	modern
後半の	latter
を費やす	spend
～を遅らせる	delay
～を借りる(b-)	borrow
～を貸す	lend
～を借りる(r-)	rent
～を供給する	provide
棚	shelf
板	board
ごみ	garbage
品物	item
車輪	wheel
メモ	note
プレゼント	present
もの	stuff
ひも	string
余暇	leisure
食事	diet
家具	furniture
冷蔵庫	refrigerator
交通	traffic
渋滞	jam
～を売る	sell
を支払う	pay
～を身につけている	wear
服	clothes
～と結婚する	marry
～に挨拶する	greet
〜を注文する	order
部屋	room
階	story
用地	site
庭	yard
底	bottom
列	line
列	row
背景	background
方向	direction
芸術	art
文化	culture
漫画	cartoon
小説	novel
楽器	instrument
曲	tune
文	sentence
記事	article
一節	passage
語彙	vocabulary
うわさ	rumor
～をつづる	spell
を発音する	pronounce
兆候	sign
～を意味する	mean
～を出版する	publish
～を展示する	display
～を信頼する	trust
次第である	depend
頼る	rely
祈る	pray
～を懇願する	beg
を好む	prefer
しくしく泣く	weep
～を嫌う	hate
心配をする	worry
心配して	anxious
～を満足させる	satisfy
～をいらだたせる	annoy
～に面倒をかける	bother
～に迷惑をかける	disturb
～をおびえさせる	frighten
～を動揺させる	upset
～を後悔する	regret
親切な行為	favor
関心	interest
残念なこと	pity
が原因で	due
理由	reason
結果	result
効果	effect
影響	influence
～を引き起こす	cause
～に影響を与える	affect
方法(w-)	way
方法(m-)	manner
目的	purpose
ため	sake
ちょうど	right
完全な	complete
ほとんど～ない	hardly
ほとんど	nearly
ある程度	partly
実は	actually
実際に	indeed
さえも	even
正確に	exactly
徐々に	gradually
それゆえに	therefore
代わりに	instead
～まで	until
～加えて	besides
～を除いて	except
