Step-by-Step TOEIC Unit11 Office Equipment 日本語→英語  
コピー機	copy machine
コンセント	outlet
挿入する	insert
うまくいく	work
電池	battery
を充電する	charge
注意	attention
質問	inquiry
手引書	manual
手順	procedure
ピーという電子音	beep
警告	alarm
を回避する	avoid
極端な	extreme temperature
湿気の多い	humid conditions
ほこり	dust
絶え間ない	constant vibration
直射日光	direct sunlight
綿棒	swab
少なくとも	at least
6ヶ月に一度は	once every six month
コンセント	plug
指示器	indicator
明るくする	light up
消える	go out
完全な	complete
止まる	go off
過度の	excessive
大量に印刷する	print a large volume
ビラ	flyer
追加料金	extra charge
注意喚起として	as a reminder
下に	below
ガイドラインに従う	follow guidelines
スイッチを切る	switch 電化製品 off
倉庫	warehouse
番号を入力する	enter a code
4桁の	four-digit
利用可能な	available
目的	purpose
通告	notice
に説明する	explain
こぎれいな	tidy
