前期期末　英単語301~600	
baggage	手荷物
belongings	所持品
souvenir	おみやげ
explore	を保持する
property	物件
real estate	不動産
be located in	にある　
landlord	大家
within walking distance	徒歩圏内に
neightborhood	近所
condominium	マンション
job opening	仕事の欠員
applicant	応募者
candidate	候補者
position	職
seek	探す
required	を要求する
requirement	要求
preferred	望ましい
qualification	資格
qualified	資格のある
background	経歴
along with	と一緒に
serve as	としての役割を果たす
hire	を採用する
recruit	新入社員
employment	雇用
employ	を雇用する
human resources	人事
personnel	人事
performance	実績
contribute	貢献する
contribution	貢献する
able	できる
ability	能力
be capable of	の能力がある
managerial	管理の
eligible	資格のある
deserve	に値する
transfer	を転勤させる
train	を訓練する
senior	上級の
complimentary	無料の
recipe	レシピ
cancellation	キャンセル
diner	食事客
beverage	飲み物
flavor	味
refreshment	軽食
fill	を満たす
occupied	使用中で
organic	オーガニックの
cuisine	料理
artwork	芸術作品
display	を展示する
on display	展示されて
exhibit	を展示する
drawing	線画
modern	現代的な
enterain	を楽しませる
piece	一点
photographer	写真家
open to the public	一般公開されて
on loan 	貸し出し中で
libraian	司書
promotion	促進
promote	を宣伝する
potential	潜在的な
promotional	販売促進のための
commercial	商用の
place	を置く
draw	を引き付ける
sponsor	を後援する
place an order	注文をする
shipping fee	送料
warehouse	倉庫
load	を積み込む
overnight	翌日の
satisfaction	満足
satisfied	満足した
survey	調査
questionnaire	アンケート
conduct	を実施する
analyze	を分析する
analysis	分析
scale	尺度
carry out	を実行する
content	内容
author	著者
publish	を出版する
subscribe to 	を定期購読する
subscriber	定期購読者
subscription	定期購読
copy	一部
issue	問題，号
edit	を編集する
edition	版
editor	編集者
editorial	編集に関する
prize	賞
award	賞
award-winning	受賞経験のある
get promoted	昇進する
honor	を表彰する
nominate	を推薦する
nomination	推薦
reward	を報酬を与える
participate in	に参加する
participation	参加
participant	参加者
lead	を指導する
enroll in	に参加する
intensive	集中的な
certificate	修了証書
contract	契約
renew	を更新する
renewal	更新
valid	有効な
invalid	無効な
expire	切れる
expiration	満了
effective on	をもって
negotiate	交渉する
negotiation	交渉
negotiable	交渉の余地がある
signature	署名
lease	賃貸借契約
voucher	クーポン
gift certificate	ギフト券
free of charge	無料で
trial	お試し
limited	限られた
take advantage of	を上手く活用する
legal	法律の
illegal	違法の
standard	基準
limitation	制限
regulation	規制
comply with	に従う
in compliance with	に準拠して
strict	厳しい
produce	を生産する
productivity	生産性
operate	を操作する
operation	操業
manufacture	を製造する
manufacturer	製造業者
supplier	供給業者
dependable	信頼できる
dependability	信頼性
automated	自動化された
discontinue	を中止する
invent	を発明する
specification	仕様
automobile	自動車
organize	を計画する
celebrate	を祝う
reception	宴会
mark	を記憶する
take place	が行われる
convention	会議
banquet	宴会
invite	を招待する
invitation	招待
host	を主催する
lecturer	講演者
activity	活動
catering	仕出し屋
agenda	議題
matter	件，事柄
teleconference	テレビ会議
overview	概要
conclusion	結論
absent	欠席した
session	会合
productive	建設的な
refund	払い戻し
inexpensive	安価な
deposit	保証金
due date 	期限日
invoice	請求書
fare	料金
overcharge	に過剰請求をする
prepaid	プリペイド方式の
accountant	会計士
profit	利益
economical	経済的な
costly	コストがかさむ
estimate	を見積もる
expense	費用
earnings	利益
income	収入
balance	残高
insurance	保険
review	を再検討する
evaluate	を評価する
evaluation	評価
examine	を詳細に検査する
inspect	を検査する　
inspection	点検
inspector	調査官
make sure 	必ずする
identification	身分証明書
measure	を測定する
measurement	寸法
submit	を提出する
submission	提出
enclose	を同封する
attach	を添付する
file	をファイルに整理する
format	体裁を整える
confidential	秘密の
fold	を折る
store	を保管する
forward	を転送する
delete	を削除する
chart	グラフ
electronically	電子的に
patient	患者
pharmacy	薬局
pharmacist	薬剤師
illness	病気
recover	回復する
be injured	けがをする
checkup	健康診断
firm	事務所
headquarters	本社
branch	支店
administration	管理
board of directors	役員会
run 	を経営する
own	を所有する
family-owned	家族経営の
strategy	戦略
appoint	を任命する
representative	担当者
assign	を割り当てる
assignment	任務
responsibility	責任
overtime	時間外に
efficient	効率的な
efficiency	効率　
duty	任務
office supply	事務用品
challenging	やりがいのある
labor	労働
commute	通勤する
routine	日課
workstation	仕事場
bulletin board	掲示板
fellow	仲間の
academic	学問的な
educational	教育的な
pass	に合格する
graduate	卒業する
faculty	教授陣
construct	を建設する
construction	建設
completion	完成
plant	工場施設
exterior	外側の
entrance	入口
exit 	出口
be equipped with	を備えている
hallway	廊下
capacity	能力
environmental	環境に関する
environmentally-friendly	環境にやさしい
surround	を取り囲む
atmosphere	雰囲気
lock	を鍵をかける
roof	屋根
stairs	階段
upstairs	上の階へ
ceiling	天井
handrail	手すり
driveway	私道
trim	をせん定する
sales figure	売上高
release	を発売する
feature	特徴
unit	一式
label	にラベルを貼る
electric appliance	電化製品
vendor	販売業者
customize	をカスタマイズする
film	映画
actor	俳優
broadcast	を放送する
box office	切符売り場
import	を輸入する
export	を輸出する
domestic	国内の
internationally	国際的に
compete	競争する
competition	競争
competitive	競争の激しい
competitor	競争相手
in operation	活動中の
