LEAP 1457-1513 英語→日本語	
flesh	肉
kidney	腎臓
posture	姿勢
limb	手足
erect	直立した
compensate	補償する
flourish	栄える
abuse	虐待
bias	偏見
prestige	名声
privilege	特権
feat	偉業
dignity	威厳
virtue	美徳
aristocracy	貴族
rebel	反逆者
scheme	計画
convention	会議
conference	会議
consent	合意
initiative	新構想
province	州
colony	植民地
frontier	辺境
tribe	部族
primitive	原始的な
ethnic	民族の
anonymous	匿名の
coverate	報道
obligation	責務
norm	ふつうのこと
patent	特許
entitled	権利がある
donate	～を寄付する
conform	合わせる
comply	従う
legislation	法律
testimony	証言
jury	陪審
legitimate	正当な
enforce	～を施行する
regime	政権
bureaucracy	官僚制度
corruption	腐敗
tyranny	圧制
sanction	制裁
census	国勢調査
candidate	候補
senator	上院議員
ambassador	大使
diplomat	外交官
refugee	難民
territory	領土
ally	同盟国
federal	連邦の
feudal	封建制の
communist	共産主義の
