COCET 1501-1550 英語->日本語	
secretary	秘書
clerk	係員
facility	施設
comfort	快適さ
importance	重要性
strength	強さ
cooperation	協力
congress	会議
agenda	議題
cabinet	戸棚
priority	優先事項
intelligence	知能
instinct	本能
athlete	選手
furniture	家具
stair	階段
pillar	柱
ceiling	天井
corridor	廊下
basement	地下室
doorway	出入り口
shelf	棚
wedge	くさび
chimney	煙突
architecture	建築
agriculture	農業
compost	堆肥
setting	設定
administration	管理
insist	主張する
accomplish	成しとげる
express	表す
tackle	取り組む
gather	集める
paste	貼り付ける
suspend	中断する
consume	消費する
revise	改訂する
evaluate	評価する
appreciate	感謝する
bathe	入浴する
breathe	呼吸する
vibrate	振動する
hunger	飢餓
dignity	尊厳
calorie	熱量
organism	微生物
enzyme	酵素
antibody	抗体
antigen	抗原
