COCET 1650-1700 英語->日本語	
spirit	精神
soul	魂
luggage	荷物
parcel	小包
award	賞
credit	功績
barrier	障壁
belief	信念
index	指数
ratio	比
probability	確率
marine	海の
concrete	具体的な
complicated	複雑な
Atlantic	大西洋の
ideal	理想的な
incredible	信じられない
neural	神経の
intellectual	知的な
precise	正確な
immune	免疫の
blind	目が見えない
deaf	耳が聞こえない
urban	都会の
rural	田舎の
suburb	郊外
citizen	市民
neighbor	隣人
presence	存在
clue	手がかり
flake	薄片
zone	区域
opinion	意見
novel	小説
media	メディア
moral	教訓
fiction	作り話
mystery	神秘
cope	処理する
leak	漏れる
install	取り付ける
repair	修理する
restrict	制限する
regret	後悔する
pray	祈る
insert	挿入する
scatter	散らす
strip	剥ぎ取る
breed	育てる
coordinate	調整する
