技術英語 Lesson3-4 日本語→英語	
モノラルの	monaural
～を参照する	refer
仕様	specification
およそ	Approx.
長時間	LP
標準	SP
高品質	HQ
～に取り付けられた	mounted
ミリボルト	mV
液晶画面	LCD
ステレオ長時間	STLP
両用の	compatible
指向性の高い	high-directionality
大口径の	large-diameter
簡体字中国語	simplified Chinese
繁体字中国語	traditional Chinese
無鉛の	lead-free
ハロゲン系難燃剤	halogenated flame retardants
筐体	cabinet
紙の容器	carton
揮発性有機物	volatile organic compound
波型段ボール	corrugated cardboard
向上	enhancement
供給停止期間	outage
コンセント	outlet
広さ	width
注文を出す	place the order
輸送	shipping
個数	qty.
単価	unit price
同等の	equivalent
変速比	gear ratio
利用する	utilize
～を経由して	via
寸法	diamension
突出したもの	protrusion
屈折光学の	dioptric
ゴム引きの	rubberized
小売業者	retailer
多結晶の	polycrystalline
単三電池	AA battery
AよりBを好む	prefer A to B
