前期中間　英単語1~300	
reservation	予約
reserve	を予約する
book	を予約する
cancel	を取り消す
meal	食事
serve	を提供する
shuttle	シャトルバス
education	教育
degree	学位
lecture	講義
customer	客
purchase	を購入する
available	利用できる
out of stock	在庫がない
look for	を探す
choose	を選ぶ
reach	手を伸ばす
exchange	を交換する
tax	税金
bakery	パン屋
battery	電池
arrive	到着する
arrival	到着する
depart	出発する
departure	出発
delay	遅れる
crowded	込んでいる
traffic	交通
sign	看板
ride	乗る
license	免許
product	製品
quality	品質
a wide variety of	幅広い種類の
selection	選択
select	を選択する
spend	を費やす
reasonable	手ごろな
fee	料金
pay	を支払う
payment	支払い
order	を注文する
ship	を発送する
shipment	発送
charge	を請求する
bill	請求書
extra	追加の
record	記録
wear	を着る
formal	正式の
clothing	衣類
annual	年に一度の
anniversary	周年
audience	聴衆
excited	興奮した
workshop	研修会
regular	定期的な
seating	座席
discount	割引
improve	を改善する
improvement	改善
membership	会員
hang	かける
gallery	画廊
create	を作る
handmade	手作りの
follow	に従う
be required to do	することを要求させる
avoid	を避ける
deadline	締め切り
guidelines	指針
arrange for	を手配する
arrangement	手配
abroad	外国へ
overseas	海外に
luggage	手荷物
foreign	外国の
agency	代理店
brochure	パンフレット
tourism	観光業
sightseeing	観光
guided tour	ガイド付きツアー
weather	天気
access	にアクセスする
connect	接続する
security	安全
apply for 	に応募する
application	申し込み
confirm	を確認する
confirmation	確認
form	用紙
fill out	に記入する
include	を含む
contain	を含む
complete	を完成させる
mail	を郵送する
correct	を修正する
search	検索する
market	市場
result	結果 
collect	を集める
demand	需要
furniture	家具
garage	車庫
garbage	生ごみ
next to	の隣に
behind	の後ろに
across from 	の向かいに
away	離れて
although	だけれども
however	しかしながら
current	現在の
currently	現在
during	の間
for a while	しばらくの間
finally	ついに
until	まで継続して
be scheduled for	の予定になっている
behind scheduled	予定より遅れて
prepare	準備する
postpone	を延期する
attend	に出席する
conference	会議
miss	を逃す
hold	を開催する
decision	決定
example	例
item	項目
advertise	を宣伝する
advertisement	広告
coupon	クーポン
CEO 	最高経営責任者
executive	重役の
management	管理
organization	組織
corporation	企業
corporate	企業の
industry	業界
benefit	利益
employee	従業員
experience	経験
career	仕事
resume	履歴書
interview	面接
opportunity	機会
retire	退職する
account	口座
accounting	経理
budget	予算
economy	経済
financial	財政的な
earn	を稼ぐ
out of order 	故障して
fix	を修理する
repair	を修理する
renovate	を改装する
renovation	改装
tool	道具
technician	技術者
park	を駐車する
parking	駐車
facility	施設
agree 	同意する
disagree	反対する
agreement	合意
accept	を受け入れる
allow	を許可する
sure	確信して
caution	注意
hurry	急ぐ
point at 	を指し示す
feel free to do 	気軽にする
article	記事
fact 	事実
cover	を取り扱う
focus	焦点
another	別の
both of 	両方の
especially	特に
match	と釣り合う
weak	弱い
strongly	強く
sharply	急激に
suddenly	突然に
broad	幅広い
narrow	狭い
heavily	激しく
fully	完全に
largely	主に
exactly	まさに
at least	少なくとも
beyond	を超えて
defficulty	困難
difference	違い
possibility	可能性
increase	増加する
decrease	減少する
drop	下がる
grow	成長する
growth	成長
be pleased to do	することを嬉しく思う
be interested in	に興味がある
helpful	役立つ
according to 	によれば
announce	を発表する
contact	と連絡を取る
call back	に折り返し電話をする
explain	を説明する
explanation	説明
conversation	会話
clearly	はっきりと
mention	に言及する
mean 	を意味する
purpose	目的
each other	お互いに
suggest	を提案する
suggestion	提案
provide	を提供する
recommend	を勧める
assistance	援助
medicine	薬
medical	医療の
dental	歯科の
appointment	予約
brush	を磨く
cowerker	同僚
colleague	同僚
photocopy	コピー
photocopier	コピー機
task	仕事
paperwork	書類仕事
automatically	自動的に
progress	進歩
environment	環境
responsible	責任がある
flexible	柔軟な
take care of 	の面倒を見る
condition	状態
athlete	アスリート
athletic	運動の
physical	身体の
factory	工場
develop	を開発する
development	開発
process	過程
production	生産
innovation	革新
convenient	便利な
accessible	交通の便が良い
rent 	賃貸料
shopper	買い物客
clerk	店員
in stock	在庫がある
inventory	在庫
cashier	レジ係
business hours	営業時間
hours of operation	営業時間
footwear	履物
try on 	を試着する
florist	花屋
demonstrate	を実演する
sample	を試食する
grocery	食料品
appliance	電化製品
housekeeping	家事
laundry	洗濯
sweep	を掃く
wipe	をふく
vacuum	に掃除機をかける
refrigerator	冷蔵庫
microwave oven 	電子レンジ
taste	味
transportion	交通機関
be closed to 	に閉鎖されている
be stuck in traffic 	交通渋滞に巻き込まれる
route	道
aboard	に乗って
interesection	交差点
direction	方向
round-trip 	往復の
passenger	乗客
vehicle	乗り物
pick up	を車で迎えに行く
aircraft	航空機
aisle 	通路
takeoff	離陸
landing	着陸
crew 	乗組員
cruise	巡航する
motorcycle	オードバイ
leave	出発する
out of town 	留守中で
travle agent 	旅行代理店
destination	目的地
region	地域
coordinate	を調整する
comfortable	快適な
comfort 	快適さ
carry-on luggage	機内持ち込み手荷物
backpack	バックパック
