英語3A　Chapter6    
throw away	捨てる
cluttered	散らかった
tidy	きちんとした
various	さまざまな
minimal	最小限の
lifestyle	生活様式
tidy up	きちんと片付ける
influential	影響力の強い
have an impact	影響を与える
make a mess	散らかす
minimalism	ミニマリズム
nowadays	最近では
own	を所有している
instead	その代わりに
benefit	利益
neat	きちんとした
earn money	お金を稼ぐ
organize	手配する
graduation	卒業
graduate from	を卒業する
thesis	論文
translate	を翻訳する
follow	に従う
method	方法
declutter	を取り除く
list	を列挙する
straighten up	まっすぐにする
clothes	衣類
garbage	ごみ
divide into	を分割する
pile	山
resale shop	中古屋
equipment	装置
Nope	いいえ
messy	散らかった
a paper	新聞紙
come over	立ち寄る
tiny	とても小さい
Not for me.	私は結構です
I can't live without	なしでは生きていけない
I'm okay with	私は十分です
