英語A　語彙9
celery	セロリ
Thai	タイの
Filipino	フィリピンの
Mexican	メキシコの
German	ドイツの
western	西の
pioneer	先駆者
expatriate	国外移住者
celebrity	著名人
available	利用可能な
shift	変化
local	地元の
such as	たとえば
the same 	同じ
realistic	現実的な
period	期間
a variety of	いろいろな
serve	出す
oridinary	普通の
at first	はじめのうちは
consider	よく考える
exotic	異国風な
throughout	いたるところに
immediately	直ちに
eventually	結局は
seasoning	調味料
fantastic	すばらしい
recommend	勧める
daily	毎日の
vegetarian	菜食主義者
come with	ついてくる
shredded	切り刻まれた
cabbage	キャベツ
get off	終える
afterwards	あとで
stew	シチュー
bite-sized	一口大の
appetizer	前菜
wrap	包む
crust	パンの耳
deep-fried	油で揚げた
lean	赤みの
meat	肉
shrimp	小エビ
add	加える
parsley	パセリ
