COCET 1451-1500 英語->日本語	
underground	地下の
pregnant	妊娠している
fertile	肥沃な
sterile	無菌の
sperm	精子
embryo	胚
chromosome	染色体
fertilize	受精させる
refuse	拒否する
exchange	交換する
rotate	回す
modify	修正する
mount	搭載する
approve	承認する
hide	隠れる
pretend	～のふりをする
probe	調べる
blame	非難する
bother	悩ませる
forgive	許す
blow	吹く
fix	修理する
burst	破裂する
explore	探検する
dump	投げ捨てる
chop	切り落とす
trim	切りそろえる
flame	炎
Mars	火星
Jupiter	木星
comet	彗星
asteroid	小惑星
parabola	放物線
disaster	災害
consequence	結果
threat	脅威
creature	生き物
mammal	哺乳類
reptile	爬虫類
dinosaur	恐竜
shell	殻
vertebrate	脊椎動物
skeleton	骨格
trust	信用する
classify	分類する
split	分割する
entitle	資格を与える
purchase	購入する
hire	雇う
executive	重役
