技術英語 後期中間試験 英語→日本語	
kills two birds with one stone	一石ニ鳥
aspire (to do / to be)	(~すること/~になること)を熱望する、切望する
allowance	(主に子どもの)小遣い
content	(~することに)満足して
generate	~を生み出す、作り出す
enable	~することを可能にする
hit upon (on)	~を思いつく
manifest [oneself]	＜兆候などが＞[~となって]現れる
innovative	革新的な、刷新的な
beast	馬力の強い乗り物
from scratch	始めから、ゼロから
pneumatic	圧縮空気式の、 圧縮空気で動く
subscribe	定期購読する
pretty	けっこう、 まあまあ ; 非常に、 とても
I('ll) tell you what.	(自分の意見を強調して)何が言いたいかというと・・
concise	簡潔な、簡明な
automotive	自動車の、自動車関連の
strategy	戦略
spare	(時間・金など) ~をさく、与える
caution	警告を与える、注意する
intersection	交差点
pedestrian	歩行者
computer Vision technique	コンピュータによる画像認識技術
distribute	分配する、配布する、配給する、配信する
convert A into B	AをBに変換する
boost	<生産・利益など>~を増大させる、伸ばす；促進する
expand	広がる、拡大する
favor	~を支持する、選ぶ
either	どちらかの、いずれか一方の
rehearse	下稽古する、予行演習する
contraction	短縮、収縮
harvest	<作物を>収穫する
resemble	~に似ている
in detail	詳細に
