COCET1401-1450 英語->日本語	
flood	洪水
drought	干ばつ
foundation	基礎
customer	顧客
whisper	ささやく
stimulate	刺激する
assign	割り当てる
promote	促進する
resign	辞任する
bind	縛る
mention	言及する
delay	遅らせる
ignore	無視する
recommend	薦める
deliver	配達する
arise	起こる
contribute	貢献する
respect	尊敬する
insult	侮辱する
violate	破る
puzzle	困惑させる
log	丸太
vessel	管
bowl	鉢
deck	甲板
cabin	小屋
anchor	錨
stock	株式
collapse	崩壊
thread	糸
needle	針
impression	印象
path	通り道
branch	支店
altogether	全体で
clockwise	時計回りに
upright	垂直に
respectively	それぞれ
regardless	かかわらず
gentle	優しい
legal	合法的な
vast	膨大な
thermal	熱の
overall	全体的な
sexual	性の
critical	危機的な
nearby	近くの
crucial	決定的な
prior	前の
senior	上級の
