COCET 1200-1500 日本語→英語 (一部除外済み)
減少する	decline
頼る	rely
探す	seek
外す	miss
穴を開ける	bore
つなぐ	join
伝導する	conduct
助成金	grant
引き金	trigger
契約	contract
部品	component
車両	vehicle
運賃	fare
負担	strain
救急車	ambulance
非常事態	emergency
技能	craft
航空機	aircraft
着陸	landing
乗客	passenger
通路	aisle
海岸	coast
湾	bay
潮	tide
締める	fasten
製造する	manufacture
狩猟する	hunt
実演する	demonstrate
調査する	investigate
耐える	bear
想像する	imagine
納得させる	convince
疑う	suspect
逮捕する	arrest
得る	gain
示す	indicate
関連づける	associate
準備する	prepare
利用する	utilize
伸ばす	extend
拡大する	enlarge
輸入する	import
輸出する	export
生き返らせる	revive
国内の	domestic
きつい	tight
ゆるんだ	loose
急な	steep
固い	firm
珍しい	rare
区画	section
一服	dose
発射	shot
進行	progress
法廷	court
広報活動	campaign
文書	document
署名	signature
余白	margin
台本	script
依頼人	client
写真	photograph
肖像	portrait
景色	landscape
証明書	certificate
電球	bulb
方略	strategy
群衆	crowd
治療	therapy
公開討論会	forum
聴衆	audience
秘密	secret
目に見える	visible
明るい	bright
薄暗い	dim
細い	slender
全体の	entire
〜の価値がある	worth
不可欠の	essential
動作する	perform
集中する	concentrate
仮定する	assume
意図する	intend
確認する	confirm
定義する	define
付ける	attach
引きつける	attract
注意	attention
声明	statement
重力	gravity
現象	phenomenon
接着剤	glue
計画	mission
情熱	passion
候補	candidate
段階	phase
状況	situation
かけら	fragment
過失	fault
危険	danger
好意	favor
頂上	summit
困難	difficulty
収穫	yield
規定	regulation
伝統	tradition
明らかな	obvious
青白い	pale
激しい	severe
広い	broad
狭い	narrow
放送する	broadcast
手に入れる	obtain
不思議に思う	wonder
叫ぶ	scream
みなす	regard
採用する	adopt
保護する	preserve
代用する	substitute
正の	positive
効率がよい	efficient
生命の	vital
外側の	outer
公式	formula
天体	sphere
総和	sum
数多くの	numerous
連続した	consecutive
基本的な	fundamental
ありふれた	ordinary
年1回の	annual
給料	salary
先駆者	pioneer
側面	aspect
章	chapter
概念	concept
職業	career
内容	content
責任	responsibility
機会	opportunity
基礎	foundation
顧客	customer
刺激する	stimulate
割り当てる	assign
促進する	promote
辞任する	resign
言及する	mention
遅らせる	delay
無視する	ignore
薦める	recommend
配達する	deliver
起こる	arise
貢献する	contribute
尊敬する	respect
破る	violate
困惑させる	puzzle
丸太	log
管	vessel
甲板	deck
小屋	cabin
錨	anchor
株式	stock
糸	thread
印象	impression
通り道	path
支店	branch
全体で	altogether
時計回りに	clockwise
垂直に	upright
それぞれ	respectively
かかわらず	regardless
優しい	gentle
合法的な	legal
莫大な	vast
全体的な	overall
危機的な	critical
近くの	nearby
決定的な	crucial
前の	prior
上級の	senior
地下の	underground
拒否する	refuse
交換する	exchange
回す	rotate
修正する	modify
搭載する	mount
承認する	approve
隠れる	hide
〜のふりをする	pretend
非難する	blame
悩ませる	bother
許す	forgive
修理する	fix
探検する	explore
投げ捨てる	dump
切り落とす	chop
切りそろえる	trim
災害	disaster
結果	consequence
脅威	threat
信用する	trust
分類する	classify
分割する	split
資格を与える	entitle
購入する	purchase
雇う	hire
重役	executive
